lat,lon,probability
59.529,25.7624,0.387
59.529,25.804,0.403
59.529,25.8457,0.403
59.529,25.8874,0.39
59.529,25.929,0.415
59.529,25.9707,0.393
59.529,26.0124,0.39
59.529,26.054,0.398
59.529,26.0957,0.382
59.529,26.1374,0.393
59.529,26.179,0.382
59.529,26.2207,0.398
59.529,26.2624,0.398
59.529,26.304,0.395
59.529,26.3457,0.412
59.529,26.3874,0.415
59.529,26.429,0.403
59.529,26.4707,0.42
59.529,26.5124,0.435
59.529,26.554,0.435
59.529,26.5957,0.398
59.529,26.6374,0.398
59.529,26.679,0.407
59.5207,24.7874,0.47
59.5207,24.829,0.43
59.5207,24.8707,0.425
59.5207,25.1207,0.468
59.5207,25.1624,0.433
59.5207,25.204,0.465
59.5207,25.2457,0.47
59.5207,25.4624,0.458
59.5207,25.504,0.423
59.5207,25.5457,0.42
59.5207,25.5874,0.403
59.5207,25.629,0.425
59.5207,25.6707,0.425
59.5207,25.7124,0.41
59.5207,25.754,0.412
59.5207,25.7957,0.398
59.5207,25.8374,0.412
59.5207,25.879,0.412
59.5207,25.9207,0.415
59.5207,25.9624,0.415
59.5207,26.004,0.4
59.5207,26.0457,0.407
59.5207,26.0874,0.403
59.5207,26.129,0.428
59.5207,26.1707,0.41
59.5207,26.2124,0.405
59.5207,26.254,0.39
59.5207,26.2957,0.387
59.5207,26.3374,0.407
59.5207,26.379,0.403
59.5207,26.4207,0.405
59.5207,26.4624,0.393
59.5207,26.504,0.435
59.5207,26.5457,0.423
59.5207,26.5874,0.403
59.5207,26.629,0.4
59.5207,26.6707,0.395
59.5207,26.7124,0.423
59.5124,24.8124,0.468
59.5124,24.854,0.435
59.5124,24.8957,0.417
59.5124,25.0124,0.477
59.5124,25.1374,0.482
59.5124,25.179,0.45
59.5124,25.2207,0.455
59.5124,25.2624,0.43
59.5124,25.4374,0.465
59.5124,25.479,0.438
59.5124,25.5207,0.41
59.5124,25.5624,0.423
59.5124,25.604,0.425
59.5124,25.6457,0.407
59.5124,25.6874,0.417
59.5124,25.729,0.41
59.5124,25.7707,0.412
59.5124,25.8124,0.41
59.5124,25.854,0.42
59.5124,25.8957,0.415
59.5124,25.9374,0.41
59.5124,25.979,0.417
59.5124,26.0207,0.4
59.5124,26.0624,0.42
59.5124,26.104,0.4
59.5124,26.1457,0.417
59.5124,26.1874,0.393
59.5124,26.229,0.407
59.5124,26.2707,0.4
59.5124,26.3124,0.39
59.5124,26.354,0.405
